Mark,Sex,Pond,2/13/2010,2/20/2010,2/21/2010,3/6/2010,3/7/2010,3/9/2010,3/15/2010,3/19/2010,3/26/2010,4/2/2010,4/15/2010,4/16/2010,4/17/2010,4/19/2010,4/22/2010
303,M,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
403,M,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
404,M,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4701512230,M,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5007364354,M,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5007371569,M,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5007394645,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007402571,M,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5007450936,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007456940,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007471664,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007481824,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007622869,M,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5007716349,M,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5007727449,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007735749,M,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5007736617,M,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5007760178,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5008442001,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007676E31,M,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5007466E32,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007765E34,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007765E35,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
053 867 363,M,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
054 125 067,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
054 370 272,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
054 845 117,M,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
054 847 337,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
055 083 049,M,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
467A206B57,M,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
467A3B6D31,M,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
467A683A45,M,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
467A735C59,M,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47010A533E,M,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47012E4B1D,M,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
470150563A,M,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
4701546F2E,M,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47016D243E,M,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500732042C,M,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500732050F,M,9,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5007335E4D,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007337C7A,M,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5007343D5F,M,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500735350D,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007370F65,M,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5007395D6A,M,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50073C354E,M,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50073E2A1C,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50073E4A66,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50073E6D68,M,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50073F4317,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007445A32,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007453F65,M,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500745633E,M,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5007461F15,M,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5007466A28,M,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500746760A,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007476B1F,M,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5007477D4F,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500748655F,M,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5007487F53,M,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50074A4A70,M,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50074C0307,M,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50074C4A1B,M,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50074E3D75,M,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50074E400E,M,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50074F1524,M,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5007622B69,M,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5007624F09,M,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
